"","Sol","Ls","Date","TauFactor","SADustFactor","WhPredicted","WhMeasured","WhDiff","WhDiffPercentage"
"202",3519,63.689412942961,"17-DEC-2013",0.59,0.494,255.429076189089,314,-58.5709238109107,-18.6531604493346
"203",3534,70.2379814817036,"1-JAN-2014",0.569,0.566,305.906952651434,371,-65.0930473485656,-17.5452957812845
"204",3540,72.8481752140968,"7-JAN-2014",0.563,0.555,297.557285521268,360,-62.4427144787315,-17.3451984663143
"205",3547,76.3415840969494,"15-JAN-2014",0.617,0.585,312.240359948895,353,-40.7596400511052,-11.5466402411063
"206",3553,78.9693688716448,"21-JAN-2014",0.595,0.594,320.56647018613,361,-40.4335298138699,-11.2004237711551
"207",3560,82.0165171819173,"28-JAN-2014",0.572,0.59,320.188678828556,361,-40.8113211714444,-11.3050751167436
"208",3575,88.6072006628261,"12-FEB-2014",0.548,0.61,338.682707053115,387,-48.3172929468855,-12.4850886167663
"209",3580,91.2708890333076,"18-FEB-2014",0.48,0.614,351.085890564651,409,-57.9141094353495,-14.1599289572982
"210",3588,94.8063345103334,"26-FEB-2014",0.498,0.691,408.249272506318,464,-55.7507274936817,-12.015242994328
"211",3595,97.9289951396576,"5-MAR-2014",0.451,0.699,424.12304549424,492,-67.8769545057596,-13.7961289645853
"212",3602,101.057394491091,"12-MAR-2014",0.446,0.694,424.616854232894,498,-73.3831457671063,-14.735571439178
"213",3609,104.211186094582,"19-MAR-2014",0.45,0.777,492.473440882357,574,-81.5265591176433,-14.2032332957567
"214",3621,110.115466512579,"1-APR-2014",0.433,0.868,578.675312554284,661,-82.3246874457162,-12.4545669358118
"215",3628,113.29891137998,"8-APR-2014",0.423,0.843,568.167083766109,642,-73.8329162338908,-11.5004542420391
"216",3635,116.553434342753,"15-APR-2014",0.413,0.831,568.566911128374,622,-53.4330888716257,-8.5905287574961
"217",3643,120.259464621152,"23-APR-2014",0.273,0.817,595.680149282659,658,-62.3198507173408,-9.47110193272657
"218",3649,121.195298464969,"25-APR-2014",0.293,0.832,607.291724984205,624,-16.7082750157949,-2.67760817560816
"219",3656,126.877683668197,"7-MAY-2014",0.607,0.916,629.293949834469,689,-59.7060501655309,-8.66560960312495
"220",3662,129.751080678049,"13-MAY-2014",0.621,0.964,675.655783047839,761,-85.3442169521614,-11.2147459858294
"221",3671,134.110263180293,"22-MAY-2014",0.667,0.955,674.472564993667,751,-76.527435006333,-10.1900712391921
"222",3676,136.555170687164,"27-MAY-2014",0.613,0.942,684.840178772415,764,-79.1598212275848,-10.3612331449718
"223",3682,139.495959917887,"2-JUN-2014",0.682,0.908,652.097038810641,733,-80.9029611893592,-11.0372389071431
"224",3690,144.01221649336,"11-JUN-2014",0.868,0.924,644.595894820474,660,-15.4041051795256,-2.33395533023115
"225",3696,147.010391308089,"17-JUN-2014",0.617,0.864,654.772243808644,706,-51.2277561913562,-7.25605611775584
